MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgsbmc,05BV-G413,null,53.35,1.917,13.82,11.83,4.785,8.51,2.946,1.177,0.283,0.206,19.4,40.2,22.6,36.5,331.7,25.4,13.4,26.3,114,23.1,154.2,453,,10.8,5.8,30.3,314.2,2.9,,33.2,20,EvartsFleck2017,WSU,whole rock,2/9/2006 4:39,45.672856,-122.031604
Tgsbsf,05BV-G414,null,53.54,1.791,14.13,11.3,5.096,8.77,2.901,1.226,0.282,0.2,22.9,41.9,22.4,36,327.3,46.1,18.8,34.5,112.2,20.2,153.2,499.7,,10.7,6.1,28.5,307.9,2.1,,35.2,20,EvartsFleck2017,WSU,whole rock,2/9/2006 5:43,45.669446,-122.030154
Tgsbmc,05BV-G415,null,52.75,1.933,13.74,11.69,4.731,8.447,2.997,1.163,0.321,0.209,21.5,44,24.3,38,317.1,36,16.3,27.6,117.7,20.1,159.8,523.8,,12,6,27.1,305.4,1.4,,35.5,20,EvartsFleck2017,WSU,whole rock,2/9/2006 6:47,45.666026,-122.028514
Tgsbmc,05BV-G416,null,52.89,1.937,13.73,11.84,4.746,8.454,2.99,1.152,0.321,0.209,21.1,40,24.2,37.6,315.8,34.6,15.2,27.1,118.4,16.9,159.3,480.2,,12.3,5,26.7,305.9,1.1,,36.2,20,EvartsFleck2017,WSU,whole rock,2/9/2006 7:51,45.661916,-122.028184
Tgww,05BV-G417,null,53.71,1.999,13.43,12.38,3.776,7.514,3.069,1.49,0.313,0.205,24,47,25.9,35,367.4,11.2,8.6,8.5,124.1,20.3,170.4,541.7,,12.3,8.5,40,309.1,3.2,,36.2,20,EvartsFleck2017,WSU,whole rock,2/9/2006 8:55,45.660656,-122.028864
Tgo,05BV-G418,null,55.31,1.93,13.69,11.35,3.486,7.024,3.136,1.694,0.325,0.185,25.7,53.8,26.2,31.6,324.3,14.3,9.9,14.3,122.1,20.2,180.3,727.3,,12.2,9.2,49.7,311.6,4.6,,36.2,20,EvartsFleck2017,WSU,whole rock,2/9/2006 9:59,45.661096,-122.031724
Tgo,05BV-G418,05BV-G418R,55.49,1.945,13.73,11.51,3.505,7.031,3.137,1.697,0.326,0.186,28.2,53,29.2,31.6,319.7,13.5,11.5,14.4,122.1,20.3,180,724,,12.6,9.2,50.1,313.1,4.3,,35.1,-9,EvartsFleck2017,WSU,whole rock,2/10/2006 3:02,45.661089,-122.031731
Tgo,05BV-G419,null,54.63,1.94,13.69,11.09,3.58,7.093,3.205,1.702,0.337,0.187,21.9,46.6,27,31.6,326.4,14.1,13.7,21.4,119.8,22.6,169.7,713.4,,12.1,8.8,47,329.2,3.4,,34.3,20,EvartsFleck2017,WSU,whole rock,2/9/2006 11:03,45.660566,-122.033614
Tgsbsf,05BV-G424A,null,52.97,1.904,13.7,11.95,4.748,8.452,2.918,1.153,0.281,0.211,17.2,37.9,23.3,36.5,331.7,20.9,13.6,26.6,114.9,22.3,154.6,456.3,,10.9,5.6,29.9,310.9,2.2,,34.3,20,EvartsFleck2017,WSU,whole rock,2/9/2006 12:07,45.679606,-122.023354
Tgsbmc,05BV-G424B,null,52.97,1.759,14.05,11.43,5.132,8.864,2.851,1.084,0.269,0.204,21.9,41.5,21.7,37.2,320.3,46.3,19.1,35.7,108.7,18.6,148.7,440.5,,10.3,5.4,28.5,308.3,1.7,,32,20,EvartsFleck2017,WSU,whole rock,2/9/2006 13:11,45.677586,-122.022034
