MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgwr,09BD-R122,null,54.3,2.308,13.35,12.47,3.416,7.001,3.161,1.696,0.399,0.196,27.4,57.6,29.3,32.1,381.7,6,13.4,24.5,128.3,21.4,190.9,708.5,,14.3,9.4,51.9,335.2,5.8,2.7,36.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 8:04,45.690309,-121.972728
Tgo,09BD-R123,null,56.01,1.807,13.74,11.19,3.45,7.055,3.193,1.74,0.313,0.186,27.2,55.4,28.1,31.1,306.1,4,9.1,12.2,122.5,21.7,186.9,678.1,,13.5,9.3,53.4,310.5,4.8,2.6,35.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 9:10,45.721136,-121.995294
Tgo,09BD-R125,null,55.77,1.897,13.68,11.52,3.481,7.103,3.245,1.678,0.331,0.189,30.6,55.2,29.1,32,321.7,6,8.2,12.6,126.5,21.2,187.2,698,,14,8.1,51.3,324.1,5.2,1.9,36.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 11:22,45.718636,-121.991214
Tgo,09BD-R125,09BD-R125R,55.66,1.89,13.61,11.58,3.469,7.083,3.231,1.671,0.33,0.189,28.3,56.1,27.2,31.2,324.8,5.8,9.3,14.5,124.4,20.2,187.8,694.4,,13.6,9.4,49.9,322.8,6.1,0.2,35.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/26/2010 6:05,45.718636,-121.991214
Tggc,09BD-R126,null,55.26,1.972,13.85,11.26,3.623,7.206,3.251,1.645,0.347,0.19,24.5,53.7,27.5,31.5,340.2,12,14.6,23.9,125.4,22.2,178,697.8,,13,8.7,49,336.2,5.2,2.8,35.2,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 12:28,45.711676,-121.960814
Tgwr,09BD-R127,null,54.57,2.329,13.43,12.41,3.451,7.063,3.144,1.735,0.404,0.2,26,55.9,30.1,31.7,384.7,4.6,13.8,25.3,133.4,21.3,193.5,720.9,,13.6,8.5,51.5,337.4,5,2.5,38.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 13:34,45.711789,-121.959984
Tgmh,09BD-R128,null,55.93,1.971,13.64,11.88,3.403,6.97,3.221,1.766,0.342,0.188,24.6,50.8,29.8,30.1,327.5,10.8,11.2,16.9,126.1,21.7,191.2,713.2,,13.7,9.3,52.8,321,5.4,2.1,36.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 16:52,45.713886,-121.945594
Tgmh,09BD-R129,null,55.15,2.001,13.64,11.87,3.558,7.115,3.252,1.651,0.35,0.193,27.6,51,27.8,32.7,341.6,12.2,11.7,18.8,128.8,22.7,188.9,679.9,,14.1,9.3,48.7,320.2,5.3,1.9,36.7,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 17:58,45.720586,-121.950314
Tgdg,09BD-R158,null,54.48,2.165,13.38,12.77,3.49,7.085,3.079,1.838,0.367,0.204,22.7,48,27.9,34.6,389.8,7.9,9.5,16.3,129.6,21.2,183.8,608.7,,12.8,7.6,49.4,308.2,4.8,1.6,36.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 22:22,45.635286,-121.942094
Tgtb,09BD-R159,null,53.85,1.696,14.07,11.1,4.681,8.377,2.975,1.115,0.254,0.191,18.8,38.6,21.8,35.3,312,19.1,11.8,19.7,110.1,21.3,152,464.9,,10.8,4.7,34,316.6,3.4,2,31.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/25/2010 23:28,45.638306,-121.936794
Tgwr,09BD-R162,null,54.49,2.351,13.54,12.19,3.334,6.981,3.215,1.668,0.384,0.19,27,60.9,32,31.9,366.3,6.5,10.9,20.5,130.7,22.4,204.4,710.1,,14.7,9.2,54.2,324.3,4.8,3.2,38.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,4/26/2010 0:34,45.667806,-121.961644
Tsp,09BV-G1212,null,51.11,1.631,14.53,10.29,6.843,10.53,2.386,0.611,0.227,0.175,18.5,37.7,21.4,35.4,283,97.4,50.7,51.3,97.3,19.5,136.9,249.2,,12.8,4.2,13,232.2,2.1,0.7,29.3,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 6:27,45.563826,-122.161764
Tggc,09BV-G1213,null,55.5,1.974,13.89,10.75,3.616,7.189,3.173,1.778,0.351,0.193,20.5,48.7,26.2,31.2,333.1,12.4,13.2,23.5,123.9,20.9,176.4,710.9,,12.9,9.2,50.1,336.6,4.5,3.3,34.1,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 7:33,45.563706,-122.162764
Tgwr,09BV-G1214,null,54.6,2.336,13.63,11.64,3.371,7.037,3.138,1.89,0.37,0.189,26.9,49.4,28.1,30,373.3,7.1,11.2,20.2,128.3,21.8,198.7,729,,14,8.8,56,318.9,5.8,1,37.3,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 8:39,45.563476,-122.163764
Tgwr,09BV-G1215,null,54.63,2.342,13.55,11.66,3.315,7.007,3.152,1.898,0.374,0.189,24,55.6,30.6,30.4,371.2,7.1,11.5,19,130.8,22.2,200.1,724.1,,14.2,8.7,55.4,319.1,6.3,2.4,37,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 9:45,45.563126,-122.164964
Tgo,09BV-G1216A,null,55.13,2.052,13.87,10.98,3.568,7.147,3.127,1.733,0.356,0.196,26,60.4,31.2,33,340.6,11.9,12.4,18,130.8,20.2,191.7,745.1,,14.2,8.6,46.6,324.8,5.7,1.5,39.5,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 10:51,45.544586,-122.199234
Tgo,09BV-G1216B,null,55.84,1.947,13.68,11.23,3.465,7.033,3.179,1.805,0.333,0.189,25.6,55.8,29,30.2,325.6,10.1,10.7,16,124.2,22.2,186,689.6,,13.2,9,53.2,313.3,6.3,1.2,34.8,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 11:57,45.544406,-122.199984
Tgww,09BV-G1217,null,54.45,2.035,13.56,11.62,3.591,7.608,2.967,1.642,0.324,0.201,22.8,47.5,24.4,35,379.8,8.8,7.8,11.1,131.5,21.9,179.9,590.7,,12.9,7.9,41.3,324.7,4.4,2.2,37.2,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 13:03,45.601406,-122.157734
Tgww,09BV-G1218,null,54.51,2.043,13.51,11.84,3.632,7.467,3.045,1.702,0.329,0.205,22.7,50.5,27.8,34.8,371.7,8,8.4,10,128.7,22,182,579.3,,13.4,7.3,42.9,316.3,5.3,1.6,36.9,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 14:09,45.598716,-122.154034
Tgo,09BV-G1219,null,55.55,1.918,13.62,11.27,3.54,7.156,3.136,1.694,0.335,0.189,26,50.2,28.4,30.8,324.7,6.1,9.7,15.4,125.6,22.6,184.7,691.1,,13.3,8.9,48.3,318.9,5.1,2,35.9,20,EvartsUnpubBridalVeil,WSU,whole rock,3/13/2010 15:15,45.598536,-122.154164
Tgwr,09BV-G1220,null,54.53,2.321,13.53,11.84,3.412,7.039,3.181,1.845,0.37,0.188,27.8,57.1,31,31.8,373.8,6.6,12.6,22.7,128.6,20.7,200.4,715.6,,14,9.1,54.5,314.4,5.9,1.4,37.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 16:21,45.589436,-122.059044
Tgwr,09BV-G1221,null,54.62,2.345,13.56,11.81,3.408,6.955,3.124,1.892,0.365,0.186,28.7,56.9,33.5,31.5,369.1,7.5,12.3,20.4,127.6,20.9,199.1,721,,13.6,8.9,55.5,316.3,6.4,1.4,37.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 17:27,45.588886,-122.059724
Tggc,09BV-G1222,null,54.87,1.925,13.65,11.28,3.651,7.141,3.123,1.736,0.319,0.191,23.6,48.4,27.8,31.2,334.4,10.3,12.3,20.1,118.1,22.2,174.5,658,,12.1,8.7,50.6,319.4,5.3,2.2,33.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 20:45,45.588476,-122.059714
Tggc,09BV-G1223,null,54.78,1.922,13.59,11.26,3.631,7.144,3.129,1.827,0.319,0.19,23.1,49.9,23.9,31.2,331.5,9.6,12.2,20,119.8,20.4,175,664.5,,12.9,8.9,49.6,321.6,5.1,1.4,33.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 21:51,45.588126,-122.059964
Tgo,09BV-G1225,null,55.4,1.835,13.5,11.14,3.497,7.058,3.023,1.701,0.321,0.185,23.6,52.5,28.1,30.5,307.3,5.6,7.5,12.1,120.7,20.1,182.2,687.1,,12.6,8.7,48.2,313.2,5.1,1.4,36.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 22:57,45.576376,-122.106544
Tgo,09BV-G1226,null,55.99,1.952,13.77,11.39,3.536,7.085,3.137,1.827,0.338,0.185,25.6,56.6,29,30,324,10.2,12.5,15.7,121,21.1,188.5,731.4,,13.2,10.6,53.6,319,4.9,2.4,35.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 0:03,45.576706,-122.106714
Tggc,09BV-G1227,null,54.85,1.92,13.68,11.66,3.602,6.584,3.303,1.651,0.322,0.175,26.8,46.6,24.6,31.7,328.9,10.7,12.5,19,118.4,21.7,174.3,665,,12.6,8.8,49.3,308.2,5.4,2.3,34.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 1:09,45.577476,-122.106884
Tggc,09BV-G1227,09BV-G1227R,55.46,1.924,13.85,11.88,3.624,6.62,3.344,1.659,0.325,0.176,27.1,49.5,26.7,33.4,334,11.6,10.6,21.2,119.3,20.5,175.2,669.9,,12,7.5,48.5,306.3,5.1,0.8,34.6,-9,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 4:39,45.577476,-122.106884
Tggc,09BV-G1228,null,55.47,1.946,13.79,11.24,3.666,7.2,3.149,1.783,0.321,0.194,22.4,52,27.1,32,333.7,10.6,13.3,20.1,120.9,21.4,176.3,677.8,,12.6,9.2,49.9,323.9,5.5,1.5,34,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 2:15,45.577876,-122.107884
Tgwr,09BV-G1229,null,54.71,2.345,13.66,11.81,3.356,7.053,3.051,1.869,0.364,0.187,27.6,56.3,27.3,31.4,366.7,6.3,11.5,21,128.2,23.1,200.1,746.4,,13.6,8.8,56.4,324.4,6.3,1.7,37.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 3:21,45.578426,-122.108544
Tgo,09BV-G1230,null,55.57,1.931,13.61,11.55,3.537,7.15,3.091,1.813,0.338,0.192,26.7,53.5,30.5,32,326.6,6.4,9.8,17.3,123.6,21.5,185.7,676.4,,13.8,7.8,48.4,318.6,5.7,0.6,37.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 4:27,45.579086,-122.097544
Tgo,09BV-G1231,null,56.43,1.807,13.76,10.83,3.502,7.107,3.074,1.865,0.313,0.185,27.4,56.5,28.3,31.4,303.7,5.6,8.3,12.2,121.5,20.7,187,696.3,,12.9,10.2,53.7,313.7,6.6,1.6,35.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 5:33,45.578556,-122.097794
Tgo,09BV-G1233,null,55.55,1.969,13.63,11.69,3.501,7.143,3.208,1.745,0.344,0.193,22,52.8,28.6,31.4,333.3,5.2,10.7,18,127.7,22.3,187.6,669.5,,14.1,7.7,47.8,319.3,4.7,1.7,36.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 6:39,45.578726,-122.095294
Tgo,09BV-G1241,null,55.13,1.953,13.75,10.6,3.51,7.131,2.974,1.806,0.311,0.184,26.2,58.7,29.7,31.4,310.9,3.8,9.5,15.2,124.2,21,193,734.4,,13.7,9,49,341,5.3,2,36.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 7:45,45.580226,-122.092214
Tgsb,09BV-G1247,null,53.12,1.784,13.99,11.5,5.128,8.899,2.878,1.16,0.273,0.199,19.1,41.7,22.9,36.3,319.9,47.3,20.2,39.7,113.3,20.7,156.2,458.5,,11.2,6.4,29.4,311.7,2.4,1.5,33.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,4/1/2011 21:16,45.571256,-122.116544
Tgww,09BV-G1248,null,55.42,2.126,13.43,12.09,3.29,7.007,3.223,1.698,0.365,0.206,25.1,60.2,30.9,34.1,353.1,6.3,6.3,8.7,133.2,22,194.9,661.4,,14.2,7.8,50.7,322.6,5.4,2.6,39.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 8:51,45.571926,-122.117214
Tgsbmc,09BV-G1250A,null,53.11,1.985,13.86,11.9,4.769,8.541,2.988,1.219,0.337,0.213,22,45.7,25.6,37.3,325,34.3,16.9,29.6,124.8,21.2,167.9,498.7,,11.9,6.3,28.6,316.8,2.5,1.7,36.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 9:57,45.589206,-122.043794
Tgsbsf,09BV-G1250B,null,53.54,1.842,14.09,11.57,4.974,8.737,2.893,1.237,0.288,0.201,23.3,40.4,22.7,36.3,336.3,40.8,18.1,35.3,117.4,20.1,159.1,475.2,,12.1,5.2,28.8,314.6,2.3,0.2,32.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 11:03,45.589286,-122.043794
Tgww,09BV-G1251A,null,54.98,2.1,13.32,12.6,3.347,7.04,3.069,1.727,0.351,0.201,21.6,52.8,26.2,33.4,357,8.3,8.9,9.8,131.1,22.7,190.4,627.6,,14,9.1,50,318.8,6.1,2.1,39,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 12:09,45.589056,-122.042144
Tgww,09BV-G1251B,null,54.39,2.022,13.5,12.43,3.808,7.568,2.988,1.699,0.318,0.209,25.3,48.7,27.1,35.7,376,9.6,8.1,11.7,127.6,22.6,178.3,555.1,,12.9,6.9,43.9,315,5.1,2.7,36.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 13:15,45.588946,-122.042484
Tgsbmc,09BV-G1251C,null,53.12,1.978,13.83,11.93,4.597,8.596,2.913,1.17,0.336,0.21,19.1,41.7,23.7,37.6,324.3,36.6,16.1,28.5,124.4,21,167.4,493.5,,12,5,29.8,321,3,0.5,35.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 14:21,45.588806,-122.042564
Tgsbmc,09BV-G1257,null,53.93,1.989,14.16,11.34,4.651,8.738,2.992,1.304,0.339,0.213,22.4,38,22.5,39.2,328.3,33.6,15.4,29.1,125.2,21.1,167.8,514.9,,11.7,5.5,29.9,323.3,3.4,1.4,36.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 15:27,45.592536,-122.031734
Tgww,09BV-G1258,null,55.05,2.108,13.38,11.72,3.394,7.158,3.045,1.869,0.362,0.202,28,56.4,31.4,33.6,359.1,9,6.5,9.9,132,21.5,188.3,641.3,,13.9,8.6,48.9,320.2,5.9,0.8,38.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 16:33,45.592636,-122.032644
Tggc,09BV-G1259,null,55.74,1.936,13.59,11.39,3.385,6.936,2.992,2.017,0.312,0.186,26.6,53.5,27.9,31,330.7,7.8,10.9,17,120.4,22.4,190.3,706.6,,13.1,9.6,57,308.6,6.5,3.3,34.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 17:39,45.591786,-122.034544
Tggc,09BV-G1260A,null,55.14,1.965,13.73,11.63,3.675,7.168,3.159,1.733,0.347,0.189,22.8,50.3,26.6,32.5,331.2,12.1,12.9,22.7,121.5,21.1,175.6,683.2,,12.6,9,49.6,328.1,5,0.9,34.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 18:45,45.592926,-122.035894
Tggc,09BV-G1260B,null,55.45,1.932,13.74,11.73,3.629,7.164,3.187,1.815,0.319,0.188,22.6,52.9,25.8,32,329.7,12.5,11.3,20.2,120.1,21,175.8,666.6,,12.5,9,51.6,317.4,5.7,1.3,33.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2010 19:51,45.593126,-122.036094
Twpr,09BV-G1286,null,48.77,3.598,12.56,14.66,4.489,8.382,2.628,1.248,0.784,0.261,29.9,66.3,40.6,39,424.8,8.3,19.7,22.7,155,22,227.8,546.4,,18.8,5.4,32.1,294.9,4.3,2.1,51.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 0:15,45.502036,-122.029394
Twfsg,09BV-G1287,null,49.67,3.08,13.22,14.03,3.74,8.316,2.667,1.094,0.695,0.258,25.3,57.3,32.8,37.1,388,11.2,16.4,23.1,148.3,21.9,190.7,544.4,,15.6,7.4,42,357.7,3.6,0.5,42.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 1:21,45.500806,-122.030894
Twpr,09BV-G1290,null,49.5,3.596,12.63,15.74,4.114,8.258,2.828,1.233,0.785,0.252,30,70.6,40,39.3,423.3,7.9,19.4,23.1,158.6,21.2,227,573.9,,19.3,5.4,32.8,290.2,3.2,1.6,51.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/22/2010 13:20,45.500206,-122.067734
Tggc,09BV-G1294,null,55.77,1.955,13.53,11.38,3.33,6.895,3.053,1.95,0.321,0.185,24.9,54.8,28.8,31.6,332.9,7.5,10.6,17,120.5,21.6,192.4,711.8,,13.4,10.3,55.8,311.8,5.9,0.7,34.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 9:04,45.591476,-122.037044
Tggc,09BV-G1294,09BV-G1294R,55.67,1.945,13.56,11.48,3.323,6.881,3.061,1.949,0.318,0.185,25.3,54.6,27.2,31.1,335.1,5.8,10.2,18,119.7,21.9,191.7,705.1,,13.6,8.8,55.5,312.1,5.9,2,35.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/17/2010 15:34,45.591476,-122.037044
Tgww,09BV-G1296,null,54.8,2.083,13.28,12.58,3.396,7.075,2.945,1.894,0.361,0.204,26.9,55.2,28.1,33.2,349.1,10.5,8,10.4,129.8,22.9,187.8,635,,13.7,8.7,51,316.5,5.9,1.6,37.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 11:16,45.591786,-122.039234
Tgo,09BV-G1297,null,55.62,1.953,13.74,11.2,3.454,7.107,3.044,1.831,0.33,0.189,21.6,54.6,29.6,30.8,306.8,5,9.2,14.9,123.2,20.3,196.4,711,,14.2,9.3,56.2,336.2,6.2,3.1,35.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 12:57,45.590226,-122.038464
Tgo,09BV-G1298,null,55.55,1.928,13.65,11.64,3.515,7.081,3.034,1.783,0.324,0.185,25.1,52.9,27.7,30.4,325,10.3,11.2,16.3,123.3,21.6,184.6,694.5,,12.8,9.2,53,315.3,5.6,1.7,36.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 14:03,45.590306,-122.037634
Tggc,09BV-G1299,null,55.81,1.937,13.52,11.59,3.342,6.908,3.12,1.944,0.312,0.187,24.3,54.2,28.4,30.8,334.4,6.6,10.2,16.9,121.8,22.4,190.1,696.9,,14.3,9.3,56.9,310.3,5.3,1.2,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 15:09,45.590426,-122.036814
Tggc,09BV-G1300,null,55.18,1.924,13.62,11.45,3.588,7.122,3.083,1.743,0.32,0.19,24.8,51.3,25,31,331.8,10.5,11.2,19.2,120,19.8,173.4,681.2,,12.5,8.5,51.1,319.3,5.7,2.4,34.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 16:15,45.593806,-122.039234
Twfss,09BV-G1308,null,51.02,2.956,12.85,14.3,3.966,7.841,2.825,1.575,0.663,0.313,28.1,64.5,35.5,37.1,395.1,13.6,18.2,25.5,152.2,21.8,212.7,626.2,,16.8,6,40.9,310.3,3.7,1.1,46.3,20,EvartsFleck2017,WSU,whole rock,3/15/2010 17:21,45.630376,-122.114294
Tgwr,09BV-G1320,null,54.16,2.313,13.48,12.2,3.455,7.025,3.157,1.941,0.376,0.191,26.9,56.7,30.1,30.7,370,7.7,15.2,24.4,130.2,21.6,201.8,699.5,,14.1,9.6,54.9,311.7,5.2,2.6,38.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 18:27,45.598786,-122.016314
Tgwr,09BV-G1321,null,54.56,2.332,13.52,12.16,3.346,6.956,3.102,1.966,0.373,0.192,27.9,58.7,29.4,30.6,365.4,7,11.1,20.4,129,21.8,202.7,722.6,,13.6,10.2,58.3,317.1,5.2,1.2,37.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 19:33,45.598136,-122.015794
Tggc,09BV-G1322,null,55.37,1.977,13.83,11.71,3.67,7.251,3.117,1.675,0.353,0.187,21,49.1,26.8,30.7,333.1,12.6,13.3,23.5,122.1,21.4,177.6,693.1,,12.7,8.7,49.4,336.4,4.5,1.5,34.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 20:39,45.597556,-122.015844
Tggc,09BV-G1323,null,55.67,1.943,13.51,11.58,3.338,6.884,2.987,1.992,0.313,0.187,26.6,54.4,27.6,30.6,336.7,6.4,10.1,17.6,120.5,21.8,191.8,711.3,,13.2,9.2,60.4,310.9,5,1.4,35.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 21:45,45.597056,-122.015814
Tgo,09BV-G1324,null,55.5,1.934,13.65,11.38,3.482,7.04,2.977,1.898,0.33,0.186,25.7,54.9,27.5,30.8,326.5,9.8,10.9,14.4,122.6,23,185.6,694.6,,12.6,10.1,56.4,315.6,5,1.9,35.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 22:51,45.596476,-122.016264
Tgo,09BV-G1325,null,55.2,1.953,13.71,11.51,3.477,7.103,3.111,1.826,0.327,0.191,28.8,55.1,31.1,31.9,313.1,3.2,10,14.2,126.8,22,194.4,676.3,,13.8,9,51.5,329.2,6.1,1.8,36.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/15/2010 23:57,45.596126,-122.016634
Tgo,09BV-G1339,null,55.12,2.007,13.74,12.05,3.621,7.15,3.172,1.689,0.359,0.196,23.5,54.1,29.5,31.4,341.7,12.1,13.6,23.7,124.4,20.7,179.8,681.9,,12.9,8.3,50.9,331.4,3.7,2.1,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 1:03,45.617556,-122.123464
Tgo,09BV-G1340A,null,54.92,2.012,13.53,12.15,3.548,7.141,3.166,1.648,0.356,0.193,22.9,49.3,26.6,31.8,336.6,13.1,12.2,21.5,128.2,21.4,186.8,676.3,,13.6,8.7,47.9,317.3,3.5,0.6,36.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 2:09,45.618476,-122.122634
Tgdg,09BV-G1342A,null,54.33,2.174,13.32,12.88,3.53,7.268,3.15,1.604,0.371,0.206,24.6,53.5,26.8,33.3,385.7,8,10.6,17,128.5,21.2,179.9,600.4,,12.1,8.7,49.5,309.8,5.1,1.1,35.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 3:15,45.603286,-122.008594
Tgdg,09BV-G1342B,null,54.38,2.143,13.26,12.71,3.398,7.095,3.117,1.636,0.366,0.205,22.1,48.3,26.3,34,371.7,6.2,7.2,12.7,126.4,21.2,182.2,646.4,,12.2,8.2,48.3,312,4,2.7,35.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 4:21,45.602536,-122.008634
Tgo,09BV-G1343A,null,55.48,1.938,13.6,10.68,3.461,7.106,2.938,2.066,0.33,0.188,26.7,55.1,28.1,30.4,328.2,9.7,11.4,17.4,123.4,22.4,185,696.3,,12.6,8.3,54.2,314.5,5.3,3,35.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 5:27,45.598056,-122.008094
Tgo,09BV-G1343B,null,55.28,2.039,13.61,11.66,3.579,7.192,3.081,1.915,0.36,0.194,24.6,54.7,26.9,32.2,342.2,11.9,12.3,21.7,127.7,21.3,188.8,676.7,,13,8.9,50.3,319.9,6,3.1,37.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 6:33,45.598286,-122.008134
Tggc,09BV-G1344,null,55.42,1.936,13.68,11.7,3.591,7.176,3.076,1.905,0.32,0.186,21.5,49.1,25.7,32,333.4,11,11.8,20.1,121,21,175.8,682.3,,12.1,8.5,53.5,322.7,3.8,1.2,33.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 7:39,45.599676,-122.008134
Tgwr,09BV-G1345,null,54.61,2.345,13.48,12.36,3.458,6.613,3.27,1.853,0.368,0.178,26.4,54.3,28.1,31,362.2,5.6,11.5,19.4,128.7,20.2,201,712.8,,14,8.9,54.8,308.5,5.4,2.1,36.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 8:45,45.599816,-122.007494
Tgwr,09BV-G1346,null,54.65,2.331,13.58,12.11,3.438,7.001,3.075,1.939,0.365,0.188,28.9,58.3,28.4,30.9,372,6.4,9.9,20.8,128.6,22.4,199.4,714.1,,13.8,9,56.7,317.5,5.5,2.7,36.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 9:51,45.600256,-122.007514
Tgwr,09BV-G1347,null,54.36,2.26,13.49,12.48,3.519,7.129,2.823,1.85,0.367,0.203,25.5,57.2,30.4,32.7,393.5,6.8,11.5,16.8,139.7,21.3,187.1,696.1,,13.1,9.4,51.6,338.2,5,2.9,35.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/22/2010 14:26,45.600956,-122.007464
Tgwr,09BV-G1347,09BV-G1347R,54.16,2.255,13.48,12.61,3.494,7.127,2.936,1.876,0.372,0.203,25.1,53.9,29.7,32.9,395.9,7.9,10,17.3,139.6,20.7,189.1,698.3,,13.1,11.3,52.6,340.4,5.7,2.5,36.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/17/2010 16:40,45.600956,-122.007464
Tgsb,09BV-G1354,null,53.05,1.978,13.83,11.61,4.374,8.56,2.892,1.295,0.331,0.209,20.4,49.7,27.1,37.2,322.3,34.1,17.8,30.3,126.2,22,168,508.7,,12.5,6.2,30.9,319,3.4,0.4,36.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 15:21,45.588126,-122.016044
Tgww,09BV-G1355,null,54.2,2.035,13.57,12.23,3.703,7.625,3.024,1.651,0.321,0.202,22,53.6,27.7,34.2,377.3,8.5,8.2,12.1,127,22.4,179.8,561.1,,14.2,7.2,41.7,318.6,4.5,1.2,36.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 16:27,45.588536,-122.016314
Tgww,09BV-G1356,null,55.3,2.095,13.35,12.19,3.431,7.155,2.975,1.913,0.364,0.205,25.8,56,30.1,34.5,352.5,9,7.3,10.6,131.7,21.7,188.6,624.5,,14.6,8.3,48.4,322.1,5.4,2.2,39.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/16/2010 17:33,45.589056,-122.016934
